Артикул;Название товара;Бренд;Остаток на складе;Оптовая цена;Розничная цена;Ссылка на сайте
DUB310;Винт под шестигранник DUBRO 2-56 x 1/2 (4шт);DUBRO;8;96.00;200.00;https://brrc.ru/catalog/materialy_i_instrumenty/krepezh/vint_pod_shestigrannik_dubro_2_56_x_1_2_4sht/
DUB507;Шариковая отвертка DuBro .050;DUBRO;8;232.00;410.00;https://brrc.ru/catalog/materialy_i_instrumenty/ruchnoy_instrument/sharikovaya_otvertka_dubro_050/
REM-F5239;Винты M4x14 (8шт) Remo Hobby;Remo Hobby;8;30.00;40.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/krepezhi/vinty/vinty_m4x14_8sht_remo_hobby/
REM-E9756;Приемник Remo Hobby 2.4Ghz E9756;Remo Hobby;8;348.00;410.00;https://brrc.ru/catalog/apparatura_i_elektronika/priemniki/priemnik_remo_hobby_2_4ghz_e9756/
SCR-carbon4.0(250x200);Карбоновый лист Type-C 250х200 мм (толщина 4.0 мм);SCR;8;2711.00;3190.00;https://brrc.ru/catalog/materialy_i_instrumenty/karbon/karbonovyy_list_type_c_250kh200_mm_tolshchina_4_0_mm/
PGY-RCS-015;Солнцезащитный козырек PGYTECH для планшета 7.9 дюймов (черный);PGYTECH;8;204.00;240.00;https://brrc.ru/catalog/dji_1/zapchasti_i_aksessuary_dji/aksessuary_dji/drugoe/solntsezashchitnyy_kozyrek_pgytech_dlya_plansheta_7_9_dyuymov_chernyy/
P-UNA-M6;Наклейка на корпус PGYTECH (скин M6) для DJI MAVIC AIR;PGYTECH;8;85.00;100.00;https://brrc.ru/catalog/dji_1/zapchasti_i_aksessuary_dji/aksessuary_dji/drugoe/nakleyka_na_korpus_pgytech_skin_m6_dlya_dji_mavic_air/
ARA330607;Задние нижние рычаги ARRMA 117mm (1 Пара);ARRMA;8;1072.00;1430.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/detali_podveski/rychagi_i_rulevoe_upravlenie/zadnie_nizhnie_rychagi_arrma_117mm_1_para/
DTXC3562;"Покрышка и колёсный диск перед/зад Six Pack ST 2.8&quot; 12 мм 2WD (2шт.) (чёрные)";Duratrax;8;2539.00;3300.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/kolesa_shiny_i_diski_vstavki/kolesa_v_sbore_rezina_diski_vstavki_dlya_monstrov_i_traggi_1_10/dtxc3562/
DTXC2946;Покрышка и колёсный диск перед/зад SpeedTreads Shootout Traxxas Slash 12 мм (2шт.) (красные);Duratrax;8;1836.00;2340.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/kolesa_shiny_i_diski_vstavki/kolesa_v_sbore_rezina_diski_vstavki_dlya_short_kors_trakov_1_10/dtxc2946/
DTXC2950;Покрышка и колёсный диск перед/зад SpeedTreads Triple Threat SС, Traxxas Slash/Rustler 12 мм (2шт.);Duratrax;8;1836.00;2340.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/kolesa_shiny_i_diski_vstavki/kolesa_v_sbore_rezina_diski_vstavki_dlya_short_kors_trakov_1_10/dtxc2950/
C182-010;Моторама для Cessna 182;Sonic Modell;8;624.00;780.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/motoramy/motorama_dlya_cessna_182/
REM-M5369;Шаровые наконечники 4.45x6мм (8шт) Remo Hobby: SMAX, DINGO, ROCKET;Remo Hobby;7;297.00;490.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/detali_podveski/tyagi_nakonechniki_sharovye/sharovye_nakonechniki_4_45x6mm_8sht_remo_hobby_smax_dingo_rocket/
EFLH1146;Голова основного ротора Blade: SR, CP, CPP;Blade;7;205.00;100.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/elementy_golovki_osnovnogo_rotora/golova_osnovnogo_rotora_blade_sr_cp_cpp/
EFLH1472Y;Стабилизатор и киль Blade, желтый, B400;Blade;7;120.00;50.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/elementy_stabilizatora/stabilizator_i_kil_zheltyy_b400/
HS1300T;Тяги Align (4 штук), T-Rex 450 SE/V2;Align;7;85.00;100.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/tyagi_kachalki_sharniry_rychagi/tyag_4_shtuk_t_rex_450_se_v2/
HN6086T-00;Рамка сервомашинки качества смеси Align, карбон, T-Rex 600N;Align;7;102.00;120.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/elementy_ramy/ramka_servomashinki_kachestva_smesi_karbon_t_rex_600n/
HN7012QFT;Верхние качалки Align SF (качалки сервооси), Т-Rex 700N;Align;7;212.00;250.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/elementy_stabilizatora/verkhnie_kachalki_sf_kachalki_servoosi_t_rex_700n/
HN6092T-00;Комплект рычагов питчкомпенсатора Align, черные, CNC, T-Rex 600N;Align;7;255.00;300.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/elementy_stabilizatora/komplekt_rychagov_pitchkompensatora_chernye_cnc_t_rex_600n/
H45173T;Центральный блок верхнего слайдера Align, T-Rex 450 Plus;Align;7;110.00;130.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/prochee_1/tsentralnyy_blok_verkhnego_slaydera_t_rex_450_plus/
H25062T-1;Качалка шага хвостового ротора, пластик, T-Rex 250;Align;7;85.00;100.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/elementy_khvostovogo_rotora/kachalka_shaga_khvostovogo_rotora_plastik_t_rex_250/
HN7111T;Втулка промежуточного вала Align, T-Rex 700E, 700N;Align;7;110.00;130.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/prochee_1/vtulka_promezhutochnogo_vala_t_rex_700e_700n/
EFLH1321;Рама крепления хвостового мотора Blade: CPP2;Blade;7;132.00;50.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/elementy_khvostovykh_balok/rama_krepleniya_khvostovogo_motora_blade_cpp2/
HN6026AT;Вал управляющих качалок Align, CNC, T-Rex 600N;Align;7;85.00;100.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/valy/val_upravlyayushchikh_kachalok_cnc_t_rex_600n/
H55007T;Блок фиксации чашки Align 550EFL, T-Rex 550 3G;Align;7;323.00;380.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/elementy_golovki_osnovnogo_rotora/blok_fiksatsii_chashki_550efl_t_rex_550_3g/
HS1293AAT;Стойки посадочных шасси, пластик, черные, Align T-Rex 450 Sport/Pro/Sport V2;Align;7;153.00;180.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/shassi/stoyki_posadochnykh_shassi_plastik_chernye_align_t_rex_450_sport_pro_sport_v2/
Hi23612;Корпус дифференциала Himoto E18;Himoto;7;51.00;60.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/detali_shassi_1/korpus_kreplenie_zashchita_differentsiala/korpus_differentsiala_himoto_e18/
HSP43002T;Корпус сервомашинки Align DS430M;Align;7;85.00;100.00;https://brrc.ru/catalog/apparatura_i_elektronika/zapchasti_k_servomashinkam/korpus_servomashinki_align_ds430m/
46561;Пропеллеры для Eachine QX95S/QX90/Hubsan X4/DIY 720;;7;85.00;100.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/propellery/propellery_dlya_eachine_qx95s_qx90_hubsan_x4_diy_720/
BLH5322;Крепление хвостовой балки Blade Fusion 270;;7;212.00;250.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/elementy_khvostovykh_balok/kreplenie_khvostovoy_balki_blade_fusion_270/
6958265125645;Пропеллеры 2110 для DJI Matrice 300 (part14);;7;13515.00;15900.00;https://brrc.ru/catalog/dji_1/zapchasti_i_aksessuary_dji/zapchasti_dji/zapchasti_dlya_matrice_300/propellery_2110_dlya_dji_matrice_300_part14/
LOSB3541;Хомут для дифференциала Losi: LST, LST2, LST XXL, Aftershock, Muggy, Mega Baja;Losi;7;156.00;178.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/detali_transmissii/differentsialy/khomut_dlya_differentsiala_losi_lst_lst2_lst_xxl_aftershock_muggy_mega_baja/
LOSA6201;Винт с головкой под шестигранник 3x6мм с шайбой Losi (10 шт.);Losi;7;127.00;150.00;https://brrc.ru/catalog/materialy_i_instrumenty/krepezh/vint_s_golovkoy_pod_shestigrannik_3x6mm_s_shayboy_losi_10_sht_/
HC42502T;Капот (зеленый), Align MR25/MR25P;Align;7;212.00;250.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/zapchasti_dlya_kvadrokopterov_align/zapchasti_dlya_mr25_mr25p/kapot_zelenyy_align_mr25_mr25p/
M425015XXT;Крышки двигателей 1806, Align MR25/MR25P;Align;7;85.00;100.00;https://brrc.ru/catalog/multikoptery/zapasnye_chasti/zapchasti_dlya_kvadrokopterov_align/zapchasti_dlya_mr25_mr25p/kryshki_dvigateley_1806_align_mr25_mr25p/
H55052T;Шестерня ведущая косозубая 18T, T-Rex 550;Align;7;212.00;250.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/vertolety/zapchasti_vertoletov/shesterni/shesternya_vedushchaya_kosozubaya_18t_t_rex_550/
AXI31609;Передний мост в сборе Axial SCX24;Axial;7;2337.00;2750.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/detali_transmissii/reduktor_transmissii/peredniy_most_v_sbore_axial_scx24/
AXI31608;Трансмиссия в сборе Axial для SCX24 ;Axial;7;1623.00;1910.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/detali_transmissii/korobka_peredach/transmissiya_v_sbore_axial_dlya_scx24_/
AXIC1027;Спур Axial 32P 56T (AX31027);Axial;7;439.00;690.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/detali_transmissii/pineny_i_spury_elektromodeley/shesternya_spur_axial_32p_56t_ax31027/
AXIC3383;Адаптеры моста Axial (AX31383);Axial;7;802.00;1070.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/detali_shassi_1/prochee/adaptery_mosta_axial_ax31383/
AXI235168;Винты Axial M2.5 x10 с плоской шляпкой (10 шт.);Axial;7;400.00;500.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/krepezhi/vinty/vinty_m2_5_x10_s_ploskoy_shlyapkoy_10_sht_/
DUB502;Выходной обтекатель тяги DuBro;DUBRO;7;285.00;380.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/kabanchiki_tyagi_petli/vykhodnoy_obtekatel_tyagi_dubro/
DUB400;Заглушка топливного бака DuBro;DUBRO;7;142.00;190.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/toplivnye_baki_1/zaglushka_toplivnogo_baka_dubro/
DUB585;Гайка DuBro с нейлоновым фиксатором,10-32;DUBRO;7;76.00;140.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/samolety/zapchasti_samoletov/raznoe_2/gayka_dubro_s_neylonovym_fiksatorom_10_32/
DRC-Mavic-Filters;Набор фильтров Deep RC (6шт) для DJI Mavic;Deep RC;7;340.00;400.00;https://brrc.ru/catalog/dji_1/zapchasti_i_aksessuary_dji/aksessuary_dji/filtry_1/nabor_filtrov_deep_rc_6sht_dlya_dji_maivc/
ARAC9028;Алюминиевая задняя стойка амортизаторов ARRMA Kraton (AR330222);ARRMA;7;2528.00;3160.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/detali_podveski/amortizatory/alyuminieva_zadnyaya_stoyka_amortizatorov_arrma_kraton_ar330222/
ARAC9027;Алюминиевая передняя стойка амортизаторов ARRMA Kraton (AR330220);ARRMA;7;2224.00;2780.00;https://brrc.ru/catalog/radioupravlyaemye_modeli/mashiny/zapchasti_avtomodeley/detali_podveski/amortizatory/alyuminieva_perednyaya_stoyka_amortizatorov_arrma_kraton_ar330220/
